Date: <<2012/12/02 12:27:03>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:27:03>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:28:18>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:28:18>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:28:31>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:28:31>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:29:01>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:29:01>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:30:55>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:30:55>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:23>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:23>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:27>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:27>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:43>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:43>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:43>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:43>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:44>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:44>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:44>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:44>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:59>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:33:59>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:34:00>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:34:00>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:34:01>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:34:01>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:34:08>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
Date: <<2012/12/02 12:34:08>>, File: <<wurfl_class.php>>, Line: <<286>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/wurfl/>>, Mode: <<bug>>, Description: <<Function ereg_replace() is deprecated>> 
